@relation poblaciones

@attribute c0 {0, 1}
@attribute c1 {0, 1}
@attribute c2 {0, 1}
@attribute c3 {0, 1}
@attribute c4 {0, 1}
@attribute c5 {0, 1}
@attribute c6 {0, 1}
@attribute c7 {0, 1}
@attribute c8 {0, 1}
@attribute c9 {0, 1}
@attribute mutationProb numeric
@attribute refoodCap numeric
@attribute alimentCost numeric
@attribute movementCap numeric
@attribute generation integer
@attribute size integer
@attribute success {no, yes}

@data
1, 0, 0, 0, 0, 0, 0, 0, 0, 0, -0.27789998, 1.3567, -0.823, 0.82140005, 2, 256, yes
0, 0, 0, 0, 1, 0, 0, 0, 0, 0, -0.08969998, 1.3436999, 0.4087, 1.0824, 2, 21, yes
0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0.38410002, 2.4246, 0.67190003, 1.2200999, 2, 1, no
0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1.2876999, 3.6599002, -1.1465001, 0.08399999, 2, 1, no
0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0.57689995, 1.6649001, -0.5999, 0.035600007, 2, 1, no
0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1.5458, 1.4975001, -0.4325, -0.48660004, 2, 1, no
0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0.60130006, 2.6139, 0.48260003, 1.4749, 2, 1, no
0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 2.9205, 3.4817, -2.521, 0.67209995, 2, 1, no
0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0.3816, 1.5694001, -0.5044, 0.6372, 3, 1, no
0, 0, 0, 0, 0, 0, 0, 0, 1, 0, -0.25169998, 1.3567, -0.2917, 0.87700003, 3, 128, yes
0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0.3816, 1.5694001, -0.5044, 0.6372, 3, 1, no
1, 0, 0, 0, 0, 0, 0, 0, 0, 0, -0.27789998, 1.3567, -0.823, 0.82140005, 3, 128, yes
0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1.2259, 2.8443, -1.8836, 1.466, 3, 1, no
0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1.8024, 2.3891, 0.02000001, -0.60370004, 3, 1, no
1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1.4954, 2.0215998, -1.5922, 0.2155, 3, 1, no
0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0.9561, 1.8412, -0.08880001, 0.4957999, 3, 1, no
0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0.9718001, 2.8079, -1.1598, 2.166, 3, 1, no
1, 0, 1, 1, 1, 0, 1, 1, 0, 0, 1.5529001, 4.1821, -3.0653, 2.3758998, 3, 1, no
0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0.103300035, 2.0570998, -0.409, 2.0949, 3, 1, no
0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0.8577, 2.0324001, 0.481, -0.8392, 3, 1, no
0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 2.7033, 3.2924, -2.3316998, 0.4173, 3, 1, no
0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 2.1729, 2.5830998, -1.6224, 0.08739996, 3, 1, no
0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1.0748999, 2.2217002, 0.2917, -0.58440006, 3, 1, no
1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0.4094, 4.9348, -2.9527001, 1.3986999, 3, 1, no
0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1.9758, 3.125, -2.06, 0.43659997, 3, 1, no
0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 2.8201, 4.3999, -3.4392, 1.2654, 3, 1, no
1, 0, 0, 0, 0, 0, 0, 0, 0, 0, -0.27789998, 1.3567, -0.823, 0.82140005, 4, 64, yes
0, 0, 0, 0, 0, 0, 0, 0, 1, 0, -0.25169998, 1.3567, -0.2917, 0.87700003, 4, 64, yes
0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1.4447, 1.3567, -0.396, 0.3355, 4, 1, no
1, 0, 0, 0, 0, 0, 0, 0, 0, 0, -0.27789998, 1.3567, -0.823, 0.82140005, 4, 64, yes
1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0.56640005, 2.6316, -2.2022, 1.6502, 4, 1, no
0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1.0748999, 2.2217002, 0.2917, -0.58440006, 4, 1, no
0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1.2282, 2.2264, -1.1614001, -0.14810002, 4, 1, no
0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0.268, 2.3761, 0.8247, 0.14319992, 4, 1, no
0, 1, 1, 1, 1, 0, 1, 0, 0, 0, 1.4018002, 4.4354, -2.7873, 3.0892, 4, 1, no
0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1.3623, 4.9427, -2.5336, 1.6336999, 4, 1, no
0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1.2259, 2.8443, -1.8836, 1.466, 4, 1, no
1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0.5507, 1.6649, -1.1312001, -0.01999998, 4, 1, no
0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0.38410002, 2.4246, 0.67190003, 1.2200999, 4, 1, no
0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 2.2733, 1.6649, -0.7042, -0.5059, 4, 1, no
1, 0, 0, 0, 1, 0, 0, 1, 0, 0, -0.038999975, 2.0085998, -0.7875, 0.9624001, 4, 64, yes
0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0.698, 4.0036, -0.80280006, 1.0663999, 4, 1, no
0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 2.3901, 2.7724, -1.8117, 0.34219992, 4, 1, no
0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 2.9205, 3.4817, -2.521, 0.67209995, 4, 1, no
0, 1, 0, 1, 1, 0, 1, 0, 0, 1, 1.0662001, 4.8155, -3.1674001, 3.3716002, 4, 1, no
1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1.377, 2.5909998, -2.1616, 0.7527, 4, 1, no
1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1.4345001, 4.7514997, -3.6347, 2.9130998, 4, 1, no
1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1.9254, 3.6490998, -3.2196999, 1.1387, 4, 1, no
0, 1, 1, 1, 0, 0, 0, 1, 0, 1, 2.2717, 3.3418, -2.3811, 0.8793999, 4, 1, no
0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1.3861, 3.4687, -1.7163001, 1.4189998, 4, 1, no
0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 2.3492, 5.1240997, -2.7150002, 1.1675998, 4, 1, no
1, 0, 0, 0, 0, 0, 0, 0, 0, 0, -0.27789998, 1.3567, -0.823, 0.82140005, 5, 32, yes
0, 0, 0, 0, 0, 0, 0, 0, 1, 0, -0.25169998, 1.3567, -0.2917, 0.87700003, 5, 32, yes
0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1.3285999, 1.3082, -0.2432, -0.7414, 5, 1, no
0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0.3816, 1.5694001, -0.5044, 0.6372, 5, 1, no
0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1.5435001, 2.1154, -1.1547, 1.1274999, 5, 1, no
0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1.6582, 3.8539, -2.7889, 0.7751, 5, 1, no
0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 2.1729, 2.5830998, -1.6224, 0.08739996, 5, 1, no
0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0.268, 2.3761, 0.8247, 0.14319992, 5, 1, no
1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0.17590001, 2.8158, -1.6990001, 2.8313, 5, 1, no
0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 2.2324, 4.0166, -1.6075001, 0.31949997, 5, 1, no
0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0.87340003, 2.9991, -0.59000003, 0.831, 5, 1, no
0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0.57689995, 1.6649001, -0.5999, 0.035600007, 5, 1, no
0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1.5435001, 2.1154, -1.1547, 1.1274999, 5, 1, no
0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1.4038, 3.7084, -1.2993001, 1.1609, 5, 1, no
1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0.4323, 2.2343, -1.7006001, 0.5172, 5, 1, no
1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0.5098, 4.0166, -2.0345001, 0.8054, 5, 1, no
0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 2.4905, 1.8542, -0.8935, -0.25110006, 5, 1, no
0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 2.8021, 4.0511, -3.0904, 1.2092999, 5, 1, no
1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0.66520005, 3.3903, -2.9609, 2.4422, 5, 1, no
1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0.74369997, 2.3782997, -1.9489, 0.9925, 5, 1, no
1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1.4345001, 4.7514997, -3.6347, 2.9130998, 5, 1, no
1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0.86480004, 4.717, -2.1518002, 2.0232997, 5, 1, no
0, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1.3295001, 3.8403, -0.74380004, 1.2267998, 5, 1, no
0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1.9758, 3.125, -2.06, 0.43659997, 5, 1, no
0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1.7595, 5.4678, -2.3713002, 2.1499996, 5, 1, no
0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 2.1729, 2.5830998, -1.6224, 0.08739996, 5, 1, no
1, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0.3319, 3.1525, -2.6188, 1.1105, 5, 1, no
0, 1, 1, 1, 1, 0, 1, 0, 1, 0, 0.6501002, 4.7921, -3.144, 3.8662, 5, 1, no
0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1.2619001, 5.8609, -3.4518, 2.227, 5, 1, no
0, 1, 1, 1, 0, 1, 0, 0, 0, 1, 0.97220004, 3.7578, -1.3487, 1.6229999, 5, 1, no
0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1.5836, 3.8767002, -1.4676001, 0.5267999, 5, 1, no
0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 2.112, 5.3129997, -3.6649, 2.7849998, 5, 1, no
1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1.9238001, 5.3259997, -4.8966, 2.5239997, 5, 1, no
1, 1, 0, 1, 1, 0, 1, 0, 0, 1, 0.28830007, 5.1721997, -4.0554, 4.093, 5, 1, no
1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0.78730005, 2.9346998, -1.8179002, 1.7350999, 5, 1, no
1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1.4345001, 4.7514997, -3.6347, 2.9130998, 5, 1, no
1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1.4545, 4.3732996, -2.4955, 1.0409, 5, 1, no
0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1.5200001, 3.6985, -2.7378001, 1.6564, 5, 1, no
1, 0, 1, 1, 1, 0, 1, 1, 0, 0, 1.5529001, 4.1821, -3.0653, 2.3758998, 5, 1, no
0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 2.3492, 5.1240997, -2.7150002, 1.1675998, 5, 1, no
0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0.7172, 1.1893001, -0.1243, 0.3548, 6, 1, no
0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0.0291, 1.7242, 0.7892, 0.0022, 6, 1, no
0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0.0291, 1.7242, 0.7892, 0.0022, 6, 1, no
0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1.3285999, 1.3082, -0.2432, -0.7414, 6, 1, no
1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0.19590002, 2.4376, -0.5598, 0.9591, 6, 1, no
0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 2.1548998, 2.2343, -1.2736001, 0.03129995, 6, 1, no
0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0.6205, 2.2213, -0.46890002, 0.7781999, 6, 1, no
0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0.106000006, 2.3891, 0.1243, -0.06220001, 6, 1, no
0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0.9538001, 2.4591, -0.811, 2.1099, 6, 1, no
0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 1.9516001, 3.6490998, -2.6883998, 1.1942999, 6, 1, no
0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1.5435001, 2.1154, -1.1547, 1.1274999, 6, 1, no
